family,method,regime,n_assets,budget,noise_level,depth,shot_budget,mitigation_label,mean_best_energy,std_best_energy,mean_gap,mean_ratio,median_best_energy,success_probability,p_succ,mean_valid_ratio,mean_runtime_seconds,mean_runtime_per_call,mean_total_shots,mean_shots_per_call,mean_objective_calls
classical_baseline,greedy,high_corr,4,2,0.04,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,greedy,high_corr,4,2,0.04,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,greedy,high_corr,6,3,0.0,1,32,none,-0.23268617593363178,,0.019873324291456773,1.0786876924991737,-0.23268617593363178,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,greedy,high_corr,6,3,0.0,2,32,none,-0.23268617593363178,,0.019873324291456773,1.0786876924991737,-0.23268617593363178,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,greedy,high_corr,6,3,0.04,1,32,none,-0.23268617593363178,,0.019873324291456773,1.0786876924991737,-0.23268617593363178,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,greedy,high_corr,6,3,0.04,2,32,none,-0.23268617593363178,,0.019873324291456773,1.0786876924991737,-0.23268617593363178,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,4,2,0.0,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,4,2,0.0,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,4,2,0.04,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,4,2,0.04,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,6,3,0.0,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,6,3,0.0,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,6,3,0.04,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,clustered,6,3,0.04,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,4,2,0.0,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,4,2,0.0,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,4,2,0.04,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,local_search,high_corr,4,2,0.04,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,1.0,1.0,0.0,,0.0,,0.0
